elevation_m,area_dam2,capacity_dam3
626.082,23.9,0.568
626.083,24,0.572
626.084,24.2,0.575
626.085,24.3,0.578
626.086,24.5,0.581
626.087,24.6,0.585
626.088,24.8,0.588
626.089,25,0.591
626.09,25.1,0.595
626.091,25.3,0.598
626.092,25.4,0.601
626.093,25.6,0.604
626.094,25.8,0.608
626.095,25.9,0.611
626.096,26.1,0.614
626.097,26.2,0.617
626.098,26.4,0.621
626.099,26.6,0.624
626.1,26.7,0.627
626.101,26.9,0.631
626.102,27,0.634
626.103,27.2,0.637
626.104,27.3,0.64
626.105,27.5,0.644
626.106,27.7,0.647
626.107,27.8,0.65
626.108,28,0.653
626.109,28.1,0.657
626.11,28.3,0.66
626.111,28.5,0.663
626.112,28.6,0.667
626.113,28.8,0.67
626.114,28.9,0.673
626.115,29.1,0.676
626.116,29.3,0.68
626.117,29.4,0.683
626.118,29.6,0.686
626.119,29.7,0.689
626.12,29.9,0.693
626.121,30,0.696
626.122,30.2,0.699
626.123,30.4,0.703
626.124,30.5,0.706
626.125,30.7,0.709
626.126,30.8,0.712
626.127,31,0.716
626.128,31.2,0.719
626.129,31.3,0.722
626.13,31.5,0.725
626.131,31.6,0.729
626.132,31.8,0.732
626.133,32,0.735
626.134,32.1,0.739
626.135,32.3,0.742
626.136,32.4,0.745
626.137,32.6,0.748
626.138,32.7,0.752
626.139,32.9,0.755
626.14,33.1,0.758
626.141,33.2,0.762
626.142,33.4,0.765
626.143,33.5,0.768
626.144,33.7,0.771
626.145,33.9,0.775
626.146,34,0.778
626.147,34.2,0.781
626.148,34.3,0.784
626.149,34.5,0.788
626.15,34.7,0.791
626.151,34.8,0.794
626.152,35,0.798
626.153,35.1,0.801
626.154,35.3,0.804
626.155,35.4,0.807
626.156,35.6,0.811
626.157,35.8,0.814
626.158,35.9,0.817
626.159,36.1,0.82
626.16,36.2,0.824
626.161,36.4,0.827
626.162,36.6,0.83
626.163,36.7,0.834
626.164,36.9,0.837
626.165,37,0.84
626.166,37.2,0.843
626.167,37.4,0.847
626.168,37.5,0.85
626.169,37.7,0.853
626.17,37.8,0.856
626.171,38,0.86
626.172,38.1,0.863
626.173,38.3,0.866
626.174,38.5,0.87
626.175,38.6,0.873
626.176,38.8,0.876
626.177,38.9,0.879
626.178,39.1,0.883
626.179,39.3,0.886
626.18,39.4,0.889
626.181,39.6,0.892
626.182,39.7,0.896
626.183,39.9,0.899
626.184,40.1,0.902
626.185,40.2,0.906
626.186,40.4,0.909
626.187,40.5,0.912
626.188,40.7,0.915
626.189,40.8,0.919
626.19,41,0.922
626.191,41.2,0.925
626.192,41.3,0.929
626.193,41.5,0.932
626.194,41.6,0.935
626.195,41.8,0.938
626.196,42,0.942
626.197,42.1,0.945
626.198,42.3,0.948
626.199,42.4,0.951
626.2,42.6,0.955
626.201,42.8,0.958
626.202,42.9,0.961
626.203,43.1,0.965
626.204,43.2,0.968
626.205,43.4,0.971
626.206,43.5,0.974
626.207,43.7,0.978
626.208,43.9,0.981
626.209,44,0.984
626.21,44.2,0.987
